mId	sId
380	418
381	419
381	2837
381	6530
381	26868
382	420
383	421
384	422
385	423
385	2708
385	9322
385	36717
386	424
386	16245
387	425
388	426
389	427
390	428
391	429
391	7835
391	11860
392	430
392	23211
393	431
393	38618
394	432
394	19300
394	25428
394	32461
394	34992
394	56393
395	433
396	434
397	435
397	20503
398	436
398	30387
399	437
400	438
401	439
402	440
403	441
403	53492
404	442
404	23976
405	443
405	48341
405	56001
406	444
407	446
408	447
409	448
409	6438
410	450
411	451
411	52211
412	452
412	33586
412	34565
413	453
413	32562
413	41095
414	454
414	41037
415	455
416	456
417	457
417	10229
418	458
418	4359
418	50823
419	460
420	461
421	462
422	463
423	464
424	465
425	466
426	467
427	468
428	470
428	14268
429	471
430	472
430	19343
431	474
432	475
433	476
434	477
435	478
436	479
436	59794
437	480
438	481
438	11342
439	482
440	483
441	484
442	485
443	486
443	3355
443	41551
444	487
445	488
445	3307
445	25330
445	30593
445	30879
445	37409
445	51210
446	489
447	490
447	35636
447	50141
448	491
449	492
450	493
450	8912
451	494
451	5550
452	495
453	496
453	51096
454	497
454	20702
455	498
456	499
456	6911
456	17747
456	33345
456	37725
456	48282
457	500
457	5248
457	8214
457	9611
457	15878
457	17708
457	26147
457	41696
457	47247
458	501
459	502
460	503
461	504
462	505
463	506
464	507
465	509
466	510
467	511
468	512
469	513
469	12750
470	514
471	515
472	516
473	517
474	518
475	519
475	35585
476	520
477	521
478	522
478	24626
478	27551
478	35469
478	48965
479	523
480	525
481	526
481	14708
481	34697
481	58318
482	527
483	528
484	529
484	3997
484	4483
485	530
486	531
487	532
488	533
489	534
490	535
491	536
491	23942
492	537
493	538
494	540
495	541
495	14296
495	58855
496	542
496	51859
497	543
498	545
499	546
499	9130
500	547
501	548
501	35933
501	48107
502	549
503	550
504	551
505	552
506	553
507	554
508	555
509	556
510	557
511	558
512	559
512	29469
513	560
514	561
514	56418
515	562
516	563
516	26491
516	40441
517	564
517	24793
517	56407
518	565
519	566
520	567
521	568
522	569
523	570
523	9604
524	571
525	572
526	573
526	7227
527	574
528	576
528	25135
529	577
529	20904
530	579
531	580
532	581
533	582
534	583
534	26946
535	584
535	1426
536	586
536	16809
537	587
537	8488
537	26873
537	50446
537	59446
538	588
539	589
540	590
541	591
542	592
543	593
544	595
544	45385
544	47502
545	596
545	45778
545	55825
546	597
546	1119
546	2249
546	49322
547	598
547	38725
548	599
549	600
550	601
550	9793
550	46178
551	602
552	604
552	41166
553	605
554	606
555	609
556	611
557	612
558	613
559	614
559	12654
560	615
561	616
562	617
562	1850
562	5808
563	618
564	619
565	620
566	621
567	623
568	624
569	626
569	49242
570	627
571	628
572	629
573	630
574	631
575	632
575	16951
575	19000
576	633
577	634
577	41452
578	635
579	636
580	637
580	36764
581	638
581	49952
582	639
583	641
583	50476
584	642
585	643
586	644
586	17851
587	645
588	646
588	27980
589	647
589	31552
590	648
591	649
591	54675
592	650
592	32225
592	33385
593	651
594	652
595	653
596	654
597	655
598	656
599	657
600	658
601	659
602	660
603	661
603	42429
604	662
604	15063
605	663
606	664
607	665
608	666
608	2686
609	667
610	668
611	669
612	670
612	18962
613	671
613	37620
614	672
615	673
616	674
617	675
617	6070
618	676
619	677
620	678
621	679
622	680
622	10274
622	53291
623	681
624	682
625	683
625	21054
625	40041
626	684
627	685
627	13209
627	36492
628	686
629	687
630	688
631	689
632	690
633	692
634	693
635	694
636	695
636	14118
637	696
637	41915
637	47812
637	54734
638	697
638	38746
639	698
639	7306
640	699
641	700
641	51814
641	55800
642	701
642	7539
642	42402
643	702
644	703
645	704
645	35598
646	705
647	706
648	707
649	708
649	45484
650	709
651	710
652	711
653	712
654	713
655	715
656	716
656	20554
656	24010
657	717
658	718
658	13492
659	719
659	17175
660	720
661	722
662	723
663	724
663	20429
664	725
665	726
666	728
667	729
668	730
669	731
669	19244
669	33985
670	732
671	733
672	734
672	6489
672	19333
673	736
673	30019
674	737
675	739
676	740
677	741
677	58070
678	742
679	743
680	744
680	23428
681	746
682	747
682	14577
683	748
684	749
685	751
686	752
687	753
688	754
689	755
690	756
690	49022
691	757
691	22600
692	758
693	759
694	760
695	761
696	762
697	763
698	764
698	24505
699	765
700	766
701	767
702	768
702	20619
703	769
704	770
704	36486
705	771
705	38672
706	772
706	37655
707	773
707	14092
707	20424
708	774
708	31448
708	32926
709	775
710	776
710	34174
711	777
711	11459
712	778
713	779
713	33673
714	780
715	781
716	782
717	783
718	784
719	785
719	44637
720	786
721	787
721	26983
722	788
723	790
724	791
725	792
726	793
727	794
727	35026
728	795
728	1989
729	796
730	797
731	798
732	800
733	801
733	10212
734	802
735	803
735	3065
736	804
737	805
738	807
738	11164
738	35315
739	808
740	809
740	29444
741	810
742	811
743	812
744	813
745	814
745	9776
745	12521
746	816
746	29629
747	817
747	11418
747	20123
748	818
749	819
749	21815
750	820
751	821
751	35373
752	822
752	17914
753	824
754	827
755	828
756	829
757	830
757	18165
757	32759
758	831
759	832
760	833
760	55315
761	834
762	835
763	836
764	837
765	838
766	840
767	841
768	842
769	843
769	44073
770	844
771	845
772	846
772	57987
773	847
774	848
774	47549
774	49489
775	849
776	850
777	851
778	852
778	31838
778	40479
779	853
780	854
781	855
782	856
783	857
784	858
785	859
786	860
787	861
788	862
788	31966
788	57025
789	863
789	21788
790	864
791	865
792	866
792	21071
793	867
794	868
795	869
796	870
797	871
798	872
799	873
800	874
801	875
801	20825
802	876
803	877
803	20736
804	879
804	15999
804	29050
805	880
805	37150
805	59242
806	881
807	883
808	884
809	885
809	3701
810	886
811	887
811	9860
812	888
813	889
814	891
815	892
816	893
816	40966
816	55467
817	894
818	895
819	896
820	897
821	898
822	899
823	900
824	901
825	902
826	903
827	904
828	905
828	4344
829	906
829	49889
830	907
831	908
831	26297
832	909
833	910
834	911
835	912
835	35655
835	36132
836	913
837	914
838	915
838	16830
838	48102
839	916
840	917
840	3609
840	10508
840	31288
841	918
842	919
842	28700
842	33924
843	920
844	921
845	922
846	923
847	924
847	1657
848	925
848	34691
849	926
850	927
850	38058
851	928
851	15276
852	929
853	930
854	931
855	934
855	16553
855	25682
855	55985
856	935
856	4965
856	51561
857	936
858	937
859	938
859	19980
859	37286
860	939
861	940
861	45634
862	941
863	942
864	943
865	944
866	945
867	946
868	947
868	15510
868	44628
869	948
870	949
871	950
871	4749
871	39138
872	951
872	21877
873	952
874	953
875	954
875	4559
876	955
876	12826
877	956
878	957
879	958
880	959
881	960
882	961
883	962
884	963
885	964
886	966
887	968
888	969
889	970
889	35677
890	971
890	13906
890	18224
891	973
892	974
893	975
893	33706
894	976
895	977
895	34760
896	978
896	51553
897	979
898	980
899	981
900	982
901	983
902	984
903	985
904	986
904	19475
905	987
906	988
907	989
907	16168
908	990
909	992
910	993
911	994
912	996
913	997
914	999
914	51449
915	1000
915	2673
916	1001
916	20726
917	1002
917	5077
917	47317
918	1003
919	1004
919	4220
920	1005
921	1006
922	1007
923	1010
924	1011
924	33268
925	1012
926	1013
927	1014
927	12114
928	1015
928	5508
929	1016
930	1017
931	1018
932	1019
933	1020
934	1021
935	1022
936	1023
937	1024
938	1025
939	1026
940	1028
940	37771
941	1030
942	1031
943	1032
944	1034
945	1035
946	1036
946	1880
946	36509
947	1037
948	1038
949	1039
949	4624
950	1040
951	1041
951	52269
952	1042
953	1043
953	11105
954	1044
954	49846
955	1045
956	1046
957	1047
958	1049
959	1050
959	19066
960	1051
961	1052
961	11743
962	1053
962	38795
963	1054
964	1055
965	1056
965	6566
965	30922
965	52788
966	1057
967	1059
968	1060
969	1061
970	1062
971	1063
972	1064
972	57377
973	1065
974	1066
975	1067
976	1068
976	7287
976	39041
977	1069
977	6692
978	1070
979	1071
980	1072
981	1074
981	45699
982	1075
983	1076
984	1078
984	23188
985	1079
985	50428
986	1080
987	1081
988	1082
989	1083
990	1084
991	1085
992	1088
993	1089
993	23770
994	1090
995	1092
996	1093
997	1094
998	1095
999	1097
1000	1099
1000	3199
1001	1100
1001	11569
1002	1101
1003	1102
1004	1103
1005	1104
1005	16327
1005	28399
1006	1105
1006	42935
1007	1106
1008	1107
1009	1108
1010	1109
1011	1110
1012	1111
1013	1112
1014	1113
1015	1114
1016	1115
1016	8870
1017	1116
1018	1117
1018	7828
1018	53616
1019	1118
1020	1120
1020	4219
1020	55495
1021	1121
1022	1122
1023	1123
1024	1124
1024	37695
1025	1125
1025	53032
1026	1127
1026	28382
1027	1128
1028	1129
1029	1130
1030	1131
1031	1132
1032	1133
1033	1134
1034	1135
1035	1136
1036	1137
1037	1138
1037	4602
1038	1139
1039	1140
1040	1142
1040	9324
1041	1143
1042	1144
1043	1145
1044	1146
1045	1147
1045	11151
1046	1148
1046	12082
1046	16823
1047	1150
1048	1151
1049	1152
1049	13325
1049	15301
1049	46617
1049	52054
1049	55721
1050	1153
1050	55438
1051	1154
1052	1155
1052	56209
1053	1156
1054	1157
1055	1158
1055	9217
1056	1160
1056	18672
1057	1161
1058	1162
1059	1163
1060	1164
1061	1165
1062	1166
1062	6240
1062	32944
1063	1167
1064	1168
1065	1169
1066	1170
1067	1171
1068	1172
1069	1173
1070	1174
1071	1175
1071	45796
1071	59669
1072	1176
1072	29765
1072	31145
1073	1177
1073	9016
1074	1178
1075	1179
1076	1180
1076	48933
1077	1181
1078	1182
1079	1183
1080	1184
1081	1185
1082	1186
1083	1187
1084	1189
1084	17223
1085	1190
1086	1191
1087	1192
1087	31279
1088	1193
1089	1194
1090	1195
1091	1196
1092	1197
1092	57296
1093	1198
1094	1199
1095	1200
1096	1201
1096	20089
1096	29387
1096	42498
1097	1202
1098	1203
1099	1204
1099	19750
1099	25081
1100	1205
1101	1206
1102	1207
1102	2286
1102	26657
1103	1208
1103	47517
1104	1210
1105	1211
1106	1212
1106	35406
1107	1213
1108	1214
1109	1215
1110	1216
1111	1218
1112	1219
1113	1221
1114	1222
1115	1223
1116	1224
1116	2169
1117	1225
1118	1226
1118	2559
1119	1227
1120	1228
1121	1229
1122	1230
1123	1231
1123	25154
1124	1232
1125	1233
1126	1234
1127	1235
1128	1236
1128	27608
1129	1237
1130	1238
1131	1239
1132	1241
1132	20514
1133	1242
1134	1243
1135	1244
1136	1245
1137	1246
1138	1247
1139	1248
1140	1249
1140	32177
1141	1250
1142	1252
1143	1253
1144	1254
1145	1256
1146	1257
1147	1258
1148	1259
1149	1260
1149	10747
1149	53103
1150	1261
1151	1262
1152	1263
1153	1264
1154	1265
1155	1266
1156	1267
1156	46751
1157	1268
1158	1270
1158	34595
1159	1271
1160	1272
1160	47970
1161	1273
1162	1274
1163	1275
1163	27114
1164	1276
1165	1277
1166	1278
1166	35020
1167	1280
1167	20566
1168	1282
1168	51964
1169	1283
1170	1284
1171	1285
1171	28032
1172	1286
1172	23610
1173	1287
1174	1288
1175	1289
1176	1290
1176	11305
1177	1291
1178	1292
1178	27543
1179	1293
1179	4596
1179	12270
1180	1294
1180	2539
1180	37694
1181	1296
1182	1297
1182	55249
1183	1298
1184	1299
1185	1300
1185	38727
1185	45957
1186	1301
1187	1302
1188	1303
1189	1304
1189	50715
1190	1305
1190	7567
1191	1306
1192	1307
1192	46186
1193	1308
1194	1309
1194	10521
1195	1310
1196	1312
1197	1313
1197	11803
1197	33886
1198	1314
1199	1315
1200	1316
1200	11733
1201	1317
1201	10627
1202	1318
1202	4410
1203	1319
1204	1320
1205	1321
1206	1322
1207	1323
1208	1324
1208	22823
1209	1325
1210	1327
1211	1328
1211	58314
1212	1329
1213	1330
1214	1331
1215	1332
1216	1333
1216	8266
1217	1334
1217	9437
1218	1335
1219	1336
1219	27825
1220	1337
1221	1338
1222	1339
1223	1340
1224	1341
1225	1342
1225	11374
1225	51543
1226	1343
1227	1344
1228	1345
1229	1346
1230	1347
1231	1348
1232	1349
1232	17449
1232	44615
1233	1351
1233	3699
1233	47479
1234	1352
1235	1353
1236	1355
1237	1356
1238	1357
1239	1358
1240	1359
1241	1360
1242	1361
1243	1362
1244	1363
1245	1364
1246	1366
1247	1367
1247	22545
1248	1368
1248	28718
1249	1369
1249	24817
1249	54495
1250	1370
1251	1371
1251	37510
1251	42560
1251	43528
1252	1372
1253	1373
1254	1374
1255	1376
1255	19081
1256	1377
1257	1378
1258	1379
1259	1380
1260	1381
1260	16480
1261	1382
1262	1383
1262	33868
1262	53565
1263	1384
1263	2028
1264	1385
1265	1387
1266	1388
1267	1389
1268	1390
1269	1391
1269	51356
1270	1392
1271	1393
1272	1394
1272	43484
1272	59984
1273	1395
1274	1396
1275	1397
1276	1398
1277	1399
1277	19684
1278	1400
1279	1401
1280	1403
1281	1404
1282	1405
1283	1406
1284	1407
1285	1408
1285	34305
1286	1409
1287	1410
1288	1412
1289	1413
1290	1414
1291	1415
1291	9307
1291	24596
1292	1416
1293	1417
1294	1418
1295	1419
1296	1420
1297	1421
1297	4434
1298	1422
1298	50179
1299	1423
1300	1424
1301	1425
1302	1427
1303	1428
1304	1429
1305	1430
1306	1433
1306	10354
1307	1434
1308	1435
1309	1436
1309	4606
1309	12945
1309	57689
1310	1437
1311	1438
1312	1439
1312	14740
1313	1441
1314	1442
1314	37668
1315	1443
1316	1444
1317	1445
1317	31828
1317	56440
1318	1446
1318	34885
1319	1447
1320	1448
1321	1449
1322	1450
1323	1451
1324	1452
1324	27511
1325	1453
1326	1454
1326	41400
1327	1455
1328	1456
1328	45823
1329	1457
1330	1458
1331	1459
1332	1460
1333	1461
1333	31585
1333	35988
1334	1462
1335	1463
1336	1464
1337	1465
1337	24021
1338	1466
1339	1467
1340	1469
1341	1471
1341	56424
1342	1472
1343	1473
1344	1474
1345	1475
1346	1477
1346	15929
1347	1478
1348	1479
1348	21539
1349	1480
1350	1481
1351	1482
1351	9727
1351	11629
1352	1483
1352	25075
1353	1484
1353	9836
1354	1485
1355	1486
1356	1487
1357	1488
1358	1489
1359	1490
1360	1492
1361	1493
1362	1494
1363	1495
1363	19340
1363	35043
1363	48119
1364	1496
1364	9290
1365	1497
1366	1498
1366	51360
1367	1499
1368	1500
1368	29105
1369	1502
1370	1503
1370	2379
1370	39928
1371	1504
1372	1505
1372	11686
1372	34291
1373	1506
1374	1507
1375	1508
1376	1509
1376	47964
1377	1510
1377	44745
1378	1512
1379	1513
1380	1514
1381	1515
1382	1516
1383	1517
1384	1518
1385	1519
1386	1520
1387	1521
1388	1522
1389	1523
1390	1524
1391	1525
1392	1526
1393	1527
1394	1528
1394	21057
1394	21513
1394	32277
1394	34743
1394	37773
1395	1529
1395	33523
1395	45110
1396	1530
1397	1531
1398	1533
1399	1535
1400	1536
1401	1537
1402	1538
1403	1539
1403	46824
1404	1540
1405	1541
1405	20574
1406	1542
1407	1543
1407	8532
1408	1544
1408	11197
1409	1545
1410	1546
1411	1547
1412	1548
1412	37261
1412	44812
1412	45196
1413	1549
1413	53146
1414	1550
1415	1551
1415	5910
1416	1552
1417	1553
1418	1554
1418	44223
1418	48594
1419	1555
1420	1556
1421	1557
1422	1558
1423	1559
1423	49726
1424	1560
1425	1562
1426	1563
1427	1564
1428	1565
1429	1566
1430	1567
1431	1568
1431	5605
1432	1569
1433	1570
1434	1572
1434	1802
1434	3628
1435	1573
1436	1574
1437	1575
1438	1576
1438	5056
1438	8236
1439	1577
1439	11519
1439	19844
1440	1578
1441	1579
1442	1580
1443	1581
1443	49485
1443	53388
1444	1582
1445	1583
1446	1584
1447	1585
1448	1586
1448	6655
1448	41443
1449	1587
1450	1588
1451	1589
1452	1590
1453	1591
1454	1592
1454	46991
1454	54937
1455	1593
1456	1594
1457	1595
1457	23528
1458	1596
1459	1597
1460	1598
1461	1600
1461	7038
1462	1601
1463	1602
1464	1604
1464	27284
1465	1605
1466	1606
1467	1607
1468	1608
1469	1610
1469	12535
1470	1611
1470	27906
1471	1612
1471	48590
1472	1613
1473	1614
1474	1615
1475	1616
1475	37706
1476	1617
1477	1618
1478	1619
1478	38305
1479	1620
1479	47879
1480	1621
1481	1622
1481	13894
1482	1623
1483	1625
1484	1626
1485	1627
1485	45032
1486	1628
1486	37932
1486	46811
1487	1629
1487	11195
1488	1630
1489	1632
1490	1634
1491	1635
1492	1636
1493	1637
1494	1638
1495	1639
1496	1640
1497	1641
1498	1642
1499	1643
1500	1644
1501	1646
1501	13648
1502	1647
1502	5792
1503	1648
1503	59078
1504	1649
1505	1650
1505	21798
1506	1651
1507	1652
1507	8663
1508	1653
1509	1654
1509	42422
1510	1655
1510	6897
1510	9068
1510	21632
1510	27266
1510	30311
1510	59824
1511	1656
1512	1658
1513	1659
1513	28402
1513	44419
1514	1660
1515	1661
1516	1662
1517	1663
1518	1666
1519	1667
1520	1668
1520	6618
1521	1669
1521	6058
1521	41875
1521	53943
1522	1670
1522	3740
1523	1671
1524	1672
1525	1673
1526	1674
1526	22961
1526	53655
1527	1675
1528	1676
1529	1678
1530	1679
1530	34677
1531	1680
1532	1681
1532	4260
1533	1682
1534	1683
1535	1684
1535	52424
1536	1685
1537	1686
1537	22765
1537	41757
1537	46073
1538	1687
1538	2301
1539	1688
1540	1689
1541	1690
1541	54297
1542	1691
1543	1692
1543	57831
1544	1693
1545	1694
1546	1695
1547	1696
1548	1697
1549	1698
1550	1699
1550	10454
1551	1700
1552	1703
1553	1705
1553	17762
1553	46190
1553	48074
1553	52289
1554	1706
1555	1707
1555	24432
1556	1708
1557	1709
1557	17945
1558	1710
1558	5184
1558	29450
1559	1711
1560	1712
1561	1713
1562	1714
1563	1715
1564	1716
1565	1717
1566	1718
1566	56956
1567	1719
1568	1720
1569	1721
1570	1722
1571	1723
1572	1724
1573	1725
1574	1726
1575	1727
1576	1728
1576	43214
1577	1729
1577	21754
1578	1730
1578	8598
1579	1731
1579	18670
1579	33352
1579	34335
1580	1732
1581	1733
1582	1734
1582	23034
1583	1735
1584	1736
1585	1737
1586	1738
1587	1740
1587	31111
1588	1741
1589	1742
1590	1743
1591	1744
1592	1745
1592	14911
1592	42447
1592	49936
1593	1746
1594	1747
1595	1750
1596	1751
1596	21437
1596	22374
1596	24096
1596	36736
1597	1752
1598	1753
1599	1754
1600	1755
1601	1756
1601	48990
1602	1757
1603	1758
1604	1759
1604	8651
1604	24703
1604	34934
1605	1760
1606	1761
1606	37423
1607	1762
1608	1764
1609	1765
1610	1766
1611	1767
1611	20985
1612	1769
1613	1770
1614	1771
1614	43802
1615	1772
1616	1773
1617	1774
1618	1776
1619	1777
1620	1778
1621	1779
1621	30422
1621	50809
1622	1780
1623	1782
1624	1783
1625	1784
1625	13236
1626	1785
1627	1786
1627	26561
1628	1787
1629	1788
1630	1789
1631	1790
1632	1791
1632	12264
1632	18379
1633	1792
1634	1793
1635	1794
1636	1795
1637	1796
1638	1797
1639	1798
1640	1799
1641	1800
1642	1801
1643	1803
1643	33932
1644	1804
1645	1806
1646	1807
1646	6062
1646	49290
1647	1808
1648	1809
1648	5512
1648	43723
1649	1810
1650	1812
1651	1813
1652	1814
1653	1815
1653	28352
1654	1816
1654	6133
1654	9484
1655	1817
1656	1818
1656	34776
1656	46912
1656	48995
1657	1819
1658	1821
1659	1822
1660	1823
1661	1824
1662	1825
1663	1826
1663	40846
1664	1827
1664	32130
1665	1828
1666	1829
1667	1831
1668	1832
1669	1833
1669	32780
1670	1834
1671	1835
1672	1836
1672	43762
1672	58637
1673	1837
1674	1838
1674	13243
1675	1839
1675	27014
1675	46865
1676	1840
1676	2121
1676	51196
1677	1841
1678	1842
1679	1843
1680	1844
1681	1845
1682	1846
1683	1847
1684	1848
1685	1849
1686	1851
1687	1852
1687	5090
1688	1853
1689	1854
1689	38072
1690	1855
1691	1856
1692	1857
1693	1858
1694	1859
1695	1860
1696	1861
1696	36388
1697	1862
1697	45462
1698	1863
1699	1864
1699	32292
1699	54165
1700	1865
1700	42138
1701	1866
1701	7319
1702	1867
1703	1868
1704	1869
1704	11799
1704	49992
1705	1870
1705	19468
1706	1871
1706	36170
1707	1872
1708	1873
1708	47065
1709	1875
1710	1876
1710	26752
1710	39440
1710	46339
1711	1877
1712	1878
1713	1879
1714	1881
1715	1882
1716	1883
1717	1884
1718	1885
1719	1886
1720	1887
1721	1889
1721	58186
1722	1890
1723	1891
1724	1892
1724	41445
1725	1893
1726	1894
1727	1895
1728	1896
1729	1898
1730	1899
1730	43273
1731	1901
1731	26250
1732	1902
1733	1903
1734	1904
1735	1905
1736	1906
1737	1907
1738	1908
1739	1909
1739	11465
1740	1910
1741	1911
1742	1912
1742	23686
1743	1913
1744	1914
1745	1915
1746	1916
1746	26168
1746	59056
1747	1917
1747	39839
1747	40587
1748	1918
1749	1919
1749	52044
1750	1920
1750	11706
1750	51893
1751	1921
1752	1922
1752	6940
1752	25870
1753	1923
1753	54048
1754	1924
1755	1925
1755	13090
1756	1926
1757	1927
1758	1928
1759	1929
1760	1930
1761	1931
1761	2587
1762	1933
1763	1934
1763	13849
1764	1935
1764	48720
1765	1936
1765	26226
1766	1937
1767	1938
1768	1939
1769	1940
1770	1941
1770	45233
1771	1942
1771	19547
1772	1943
1773	1944
1774	1945
1775	1946
1776	1948
1777	1949
1777	50845
1778	1950
1779	1951
1780	1952
1781	1953
1782	1954
1783	1955
1784	1956
1785	1957
1786	1958
1787	1959
1788	1960
1789	1961
1790	1962
1791	1963
1792	1964
1793	1965
1794	1966
1795	1967
1796	1968
1797	1969
1797	57757
1798	1970
1799	1971
1800	1972
1801	1973
1802	1974
1803	1975
1804	1976
1805	1977
1805	20306
1805	36013
1805	42745
1806	1978
1806	33485
1807	1979
1808	1980
1809	1981
1810	1982
1811	1983
1812	1984
1813	1985
1813	31532
1814	1986
1815	1987
1816	1988
1816	22793
1817	1990
1817	15180
1818	1991
1819	1992
1819	36564
1820	1993
1821	1994
1822	1995
1823	1996
1824	1997
1825	1998
1825	5338
1826	1999
1827	2000
1828	2001
1828	2980
1828	25170
1829	2002
1830	2004
1831	2005
1832	2006
1832	20264
1833	2007
1834	2008
1835	2009
1836	2010
1837	2011
1838	2012
1839	2013
1840	2014
1840	21449
1841	2015
1841	28252
1842	2016
1843	2018
1844	2019
1845	2021
1845	21779
1846	2022
1847	2023
1848	2024
1849	2025
1849	32005
1849	41949
1850	2026
1851	2027
1852	2029
1852	15590
1852	31416
1853	2030
1853	8241
1853	25460
1853	26917
1853	44468
1853	55622
1854	2031
1855	2033
1856	2034
1857	2035
1857	21362
1858	2036
1859	2037
1860	2038
1861	2039
1862	2042
1863	2043
1864	2044
1865	2045
1865	6095
1866	2047
1866	3236
1867	2048
1867	15403
1868	2049
1869	2050
1870	2051
1871	2052
1871	6650
1871	57827
1872	2053
1873	2054
1873	27394
1873	36801
1874	2055
1875	2056
1875	35284
1876	2057
1876	28522
1877	2058
1877	21319
1878	2060
1879	2061
1880	2063
1880	3075
1880	14247
1880	17057
1880	17251
1880	19826
1880	23132
1880	33521
1880	35085
1880	35701
1880	39789
1880	44280
1880	53398
1880	53824
1881	2064
1882	2065
1883	2066
1883	20751
1884	2067
1884	35145
1885	2068
1886	2069
1887	2070
1888	2071
1889	2072
1890	2073
1891	2074
1892	2075
1893	2076
1894	2077
1895	2078
1895	50154
1895	50521
1896	2080
1897	2081
1897	32119
1898	2082
1899	2084
1900	2085
1901	2087
1902	2088
1902	13918
1902	54970
1903	2089
1904	2090
1904	50875
1905	2091
1906	2092
1906	16612
1907	2093
