mId	sId
1	1
2	2
3	4
4	5
5	6
5	13719
6	7
7	9
8	10
9	11
10	12
11	15
12	16
12	524
12	1874
13	17
13	20633
14	18
15	19
16	20
16	594
17	21
18	22
18	26180
19	24
20	25
21	26
22	27
23	28
23	21611
23	47168
24	29
24	43341
24	45190
25	30
26	31
27	32
28	33
29	34
30	35
30	50607
31	37
32	38
33	39
34	40
35	41
36	43
37	44
38	45
38	7892
39	46
40	47
40	23095
40	52485
41	48
42	49
43	50
44	51
45	52
46	53
47	54
48	55
49	56
50	57
51	58
52	59
53	60
54	61
55	62
56	63
57	64
57	3086
58	65
59	67
59	15593
60	68
61	69
62	70
63	71
64	72
64	11463
64	54667
64	59742
65	74
65	45910
66	75
67	76
68	77
69	78
69	2855
69	14952
69	47111
70	79
71	80
71	27384
72	81
73	82
74	83
75	84
75	2366
76	85
77	86
78	87
78	2373
78	54115
79	88
79	3686
80	89
81	90
82	91
83	92
83	32515
83	46395
84	93
85	94
86	96
87	97
88	98
89	99
89	55190
90	100
91	101
92	102
93	103
93	45873
94	104
95	105
96	106
97	107
97	6532
98	109
99	110
100	111
101	112
102	113
103	114
104	115
105	116
106	117
107	118
108	119
109	120
109	30955
109	55490
110	121
111	122
112	123
113	124
114	125
114	25356
115	126
116	127
116	32022
117	128
118	129
119	131
120	132
121	133
122	134
123	135
123	374
123	21355
124	136
125	137
125	4396
126	138
126	48040
127	139
127	1029
128	140
129	141
129	56945
129	59833
130	142
131	143
132	144
133	145
134	146
135	147
136	148
136	40727
136	48876
137	150
138	151
139	153
139	53426
140	154
141	155
141	18016
142	156
142	3626
142	53822
143	157
143	15863
144	158
145	159
146	160
147	161
148	162
148	35519
148	36828
149	163
149	26252
150	164
151	165
152	166
153	167
154	169
154	53989
155	170
156	171
157	172
158	173
158	25785
159	174
159	57479
160	175
161	176
162	177
162	25151
162	27342
162	31268
162	32136
162	35951
163	178
164	179
165	180
165	50052
166	181
167	182
168	183
169	185
170	186
171	187
172	188
173	189
174	191
175	192
176	194
177	195
178	196
179	197
180	198
180	43041
181	199
182	201
183	202
184	203
184	10493
184	21236
185	204
185	2897
186	205
187	206
188	207
189	208
190	210
191	211
192	212
193	213
193	22348
194	214
194	7737
195	215
196	216
196	20950
196	53765
197	217
198	218
199	219
200	220
201	221
202	222
203	223
203	13636
204	225
205	226
205	3998
206	227
207	228
207	2964
207	3109
208	229
209	230
210	231
211	232
212	233
213	234
213	11969
213	47382
214	235
214	18778
214	56426
215	236
215	54936
216	237
217	238
217	42439
218	239
219	241
220	242
220	7084
220	58354
221	243
222	244
223	245
224	246
225	247
226	249
227	250
227	39577
228	251
229	252
230	254
230	13273
231	255
232	256
233	257
233	56627
234	258
235	260
236	261
237	262
237	8315
237	19601
238	263
239	264
240	265
241	266
242	267
243	268
244	269
245	270
246	271
247	272
248	273
249	274
249	1126
249	25525
250	275
251	276
252	278
252	45743
253	279
253	5830
254	280
254	16516
255	281
255	18715
256	282
257	283
258	284
258	15438
258	47924
259	285
260	286
261	287
262	288
262	4519
263	289
264	290
265	292
266	293
267	295
268	296
269	297
269	27323
270	298
270	37356
271	299
272	300
273	302
274	303
275	304
275	18111
276	305
276	55654
277	306
278	307
279	308
279	57746
280	310
281	311
282	312
282	40197
283	313
284	314
285	315
286	318
286	30490
287	319
288	320
289	321
290	322
291	323
292	324
292	33184
293	325
294	326
294	50806
295	327
295	37362
296	328
296	34228
297	329
298	330
298	54847
299	331
300	332
301	333
302	334
302	18032
302	34153
303	335
304	336
305	337
306	338
306	10586
307	339
307	2271
307	10180
308	340
309	341
310	342
311	344
311	51285
312	345
313	346
314	347
315	348
315	17423
316	349
317	350
318	351
318	8717
318	27449
319	352
320	354
321	355
321	4604
322	356
322	36599
323	357
324	359
325	360
325	47709
326	361
326	11178
327	362
327	40232
328	363
329	364
330	365
330	10142
331	366
332	367
333	368
333	56954
334	369
335	370
336	371
336	10146
337	372
338	373
339	375
340	376
341	377
342	378
342	36573
343	379
344	380
344	10488
344	37369
345	381
345	5509
346	382
347	383
348	384
349	385
350	386
350	9595
351	387
352	388
353	389
353	59897
354	390
355	391
355	5545
355	7658
355	9588
355	21472
355	38067
355	40705
355	44719
355	46929
356	392
356	51800
357	393
358	395
359	396
360	397
361	398
362	399
363	400
364	401
365	402
365	49001
366	403
367	404
368	405
369	406
370	407
370	27662
371	408
371	4080
371	25292
372	409
372	17883
373	410
374	412
375	413
375	13151
375	41106
376	414
377	415
377	7261
378	416
379	417
